2026-06-30 08:07:36 step=46214875 FTT=48.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.66% 4.12% 6.44% 3.81% 5.53% 3.97% 1.02% 6.22% 6.22% 4.32% 4.92% 3.33% 
2026-06-30 08:32:01 step=46691317 FTT=49.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.67% 4.41% 6.52% 3.71% 5.55% 4.04% 1.02% 6.37% 6.22% 4.18% 4.82% 3.34% 
2026-06-30 08:55:25 step=47167759 FTT=49.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.14% 6.51% 3.66% 5.48% 4.10% 0.99% 6.19% 6.22% 4.06% 4.64% 3.36% 
2026-06-30 09:02:14 step=47167759 FTT=49.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.14% 6.51% 3.66% 5.48% 4.10% 0.99% 6.19% 6.22% 4.06% 4.64% 3.36% 
2026-06-30 09:19:55 step=47644201 FTT=50.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.36% 6.54% 3.77% 5.45% 4.15% 0.97% 6.10% 6.30% 4.11% 4.66% 3.50% 
2026-06-30 09:22:13 step=47644201 FTT=50.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.36% 6.54% 3.77% 5.45% 4.15% 0.97% 6.10% 6.30% 4.11% 4.66% 3.50% 
2026-06-30 09:44:59 step=48120643 FTT=50.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.27% 6.62% 3.71% 5.51% 4.18% 0.94% 5.96% 6.34% 4.02% 4.56% 3.42% 
2026-06-30 09:52:41 step=48120643 FTT=50.50 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.65% 4.27% 6.62% 3.71% 5.51% 4.18% 0.94% 5.96% 6.34% 4.02% 4.56% 3.42% 
2026-06-30 10:07:49 step=48597085 FTT=51.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.66% 4.32% 6.62% 3.67% 5.57% 4.18% 0.91% 5.97% 6.31% 3.93% 4.42% 3.37% 
2026-06-30 10:17:39 step=48597085 FTT=51.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.66% 4.32% 6.62% 3.67% 5.57% 4.18% 0.91% 5.97% 6.31% 3.93% 4.42% 3.37% 
2026-06-30 11:03:50 step=49549969 FTT=52.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.62% 3.99% 6.28% 3.75% 5.57% 4.26% 0.84% 5.69% 6.14% 3.72% 4.56% 3.58% 
2026-06-30 11:12:47 step=49549969 FTT=52.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.62% 3.99% 6.28% 3.75% 5.57% 4.26% 0.84% 5.69% 6.14% 3.72% 4.56% 3.58% 
2026-06-30 12:02:43 step=50502853 FTT=53.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.58% 3.82% 5.89% 3.65% 5.27% 4.09% 0.80% 5.77% 5.79% 3.59% 4.30% 3.42% 
2026-06-30 12:32:22 step=51455737 FTT=54.00 L2avg[LESOCC:U,V,uu,vv,uv,k|MGLET:U,V,uu,vv,uv,k]= 0.58% 3.80% 5.78% 3.61% 4.97% 3.87% 0.75% 5.40% 5.59% 3.64% 4.00% 3.16% 
