kind,path,step,ftt,rho_mean,rho_rms,rho_std,rho_max_abs,wall_rms,wall_max_abs
restart,restart/checkpoint/step_52001,52001,0.642077738626515,1.000001066666079,6.42559772535385e-05,6.424712317515005e-05,0.0007021029186353722,8.338820898549141e-05,0.0007021029186353722
restart,restart/checkpoint/step_53001,53001,0.654425149996037,1.0000010934725423,6.127693815866995e-05,6.126718100175291e-05,0.0006926829814595248,8.188149903987947e-05,0.0006926829814595248
restart,restart/checkpoint/step_54001,54001,0.666772561365559,1.0000014955147707,6.24213136799315e-05,6.240339603819244e-05,0.0007373920495117314,8.281301070622937e-05,0.0007373920495117314
restart,restart/checkpoint/step_55001,55001,0.679119972735081,1.0000011091243841,6.257799771098583e-05,6.256816794997894e-05,0.0007108860024602759,8.402192832895585e-05,0.0007108860024602759
restart,restart/checkpoint/step_75001,75001,0.926068200125521,0.9999996320128397,6.641681400746569e-05,6.641579456990672e-05,0.0005956312414243659,9.206692034083693e-05,0.0005956312414243659
restart,restart/checkpoint/step_76001,76001,0.938415611495043,0.9999998352939349,6.238055806213758e-05,6.238034062151217e-05,0.0006046293551043025,8.902203341491164e-05,0.0006046293551043025
restart,restart/checkpoint/step_77001,77001,0.950763022864565,0.9999993370832101,6.68761583644992e-05,6.687287266838866e-05,0.0006038310978029315,9.325193610048107e-05,0.0006038310978029315
restart,restart/checkpoint/step_78001,78001,0.963110434234087,0.9999997390138542,6.33841373544649e-05,6.33836000429259e-05,0.000579524589759961,8.967213943226945e-05,0.000579524589759961
restart,restart/checkpoint/step_79001,79001,0.975457845603609,0.9999991087602702,6.55609529450645e-05,6.555489488062047e-05,0.0005294926550216683,9.178744810171769e-05,0.0005294926550216683
restart,restart/checkpoint/step_80001,80001,0.987805256973131,0.9999995330851791,6.459253821859696e-05,6.459085062197843e-05,0.000502452713990742,9.094687775622244e-05,0.0004964185959435152
restart,restart/checkpoint/step_81001,81001,1.000152668342654,0.9999987695044694,6.448502977840007e-05,6.447328862614979e-05,0.0005505453607063115,9.062208959695609e-05,0.00047738361858806755
restart,restart/checkpoint/step_82001,82001,1.012500079712176,0.9999994662121284,6.610184577443466e-05,6.609969050832082e-05,0.0005852474255807483,9.19058803841874e-05,0.0005072208671831335
restart,restart/checkpoint/step_83001,83001,1.024847491081698,0.9999985261213273,6.35454467335124e-05,6.352835179839921e-05,0.00059018275220446,9.044561003517233e-05,0.0005447718380590105
restart,restart/checkpoint/step_84001,84001,1.03719490245122,0.9999992436221042,6.646404317006403e-05,6.645973914326636e-05,0.0006031934570130959,9.30312364438875e-05,0.0006031934570130959
restart,restart/checkpoint/step_85001,85001,1.049542313820742,0.9999982840555937,6.355186295245076e-05,6.352869288377445e-05,0.0005832777933515443,9.015699841411806e-05,0.0005832777933515443
restart,restart/checkpoint/step_86001,86001,1.061889725190264,0.9999991257281505,6.553083138862803e-05,6.552499913176547e-05,0.0005780436957272261,9.107029839812249e-05,0.0005780436957272261
restart,restart/checkpoint/step_104001,104001,1.28414312984166,0.9999978711010166,6.0511150427208874e-05,6.0473689445419993e-05,0.00058037636681052,8.180128382332916e-05,0.00046357214611936204
restart,restart/checkpoint/step_105001,105001,1.296490541211182,0.9999970489921721,6.002174081536124e-05,5.99491528155922e-05,0.0005237293181572511,8.141496301966181e-05,0.00048011564574534926
restart,restart/checkpoint/step_106001,106001,1.308837952580704,0.9999975726653976,5.8791225181962723e-05,5.874109468782793e-05,0.0005450012698713369,8.059114088263702e-05,0.0005450012698713369
restart,restart/checkpoint/step_107001,107001,1.321185363950226,0.9999968956224565,6.085561253206662e-05,6.077638041806825e-05,0.0005697575167376012,8.202693088495819e-05,0.0005697575167376012
restart,restart/checkpoint/step_108001,108001,1.333532775319748,0.9999973374425487,5.812811527654174e-05,5.806710405574832e-05,0.0005357211477223789,7.970843665242754e-05,0.0005188933579256538
restart,restart/checkpoint/step_109001,109001,1.34588018668927,0.9999966784406723,6.0485138148398064e-05,6.039386707659228e-05,0.0005297905684366055,8.161387033057698e-05,0.0005297905684366055
