kind,path,step,ftt,rho_mean,rho_rms,rho_std,rho_max_abs,wall_rms,wall_max_abs
restart,restart/checkpoint/step_139001,139001,0.482435178892588,0.999999810755463,6.122506261563221e-05,6.122477014079601e-05,0.000719886604599207,6.778739593870717e-05,0.00048076960400744717
restart,restart/checkpoint/step_140001,140001,0.485905910605975,0.9999998128744639,6.091650659019321e-05,6.09162191800015e-05,0.00071252027732982,6.716127322231526e-05,0.0004585386760798116
restart,restart/checkpoint/step_144001,144001,0.499788837459526,0.9999998063752878,6.044088828524182e-05,6.0440578142339e-05,0.0006829676676065599,6.66351033967204e-05,0.00038011344561317273
restart,restart/checkpoint/step_145001,145001,0.503259569172913,0.9999998036833646,6.100483722600896e-05,6.10045213467907e-05,0.000655457719121677,6.735006574008079e-05,0.0003555534928056936
restart,restart/checkpoint/step_146001,146001,0.506730300886301,0.9999998065943819,6.126237586497209e-05,6.12620705729741e-05,0.000684484694658205,6.751066876997798e-05,0.00033329746001253824
restart,restart/checkpoint/step_147001,147001,0.510201032599689,0.9999997972383644,6.131636834944472e-05,6.131603310133436e-05,0.0006776229360750952,6.749562547161798e-05,0.00032436103834543317
restart,restart/checkpoint/step_148001,148001,0.513671764313076,0.9999997955226488,6.117887853771633e-05,6.117853682579815e-05,0.0007041888966080601,6.768749587264619e-05,0.00032036056073625474
restart,restart/checkpoint/step_157001,157001,0.544908349733564,0.9999997744337286,6.186717946502923e-05,6.186676825902105e-05,0.0007070114144670514,6.891396365527489e-05,0.0003391818276037295
restart,restart/checkpoint/step_158001,158001,0.548379081446952,0.9999997735251982,6.123664626792566e-05,6.123622747449208e-05,0.0006698953364748794,6.812822077223262e-05,0.00035501927413394974
restart,restart/checkpoint/step_159001,159001,0.55184981316034,0.9999997788244729,6.109919302152676e-05,6.109879269894006e-05,0.0006281152043119409,6.778182332541317e-05,0.00035698988040522295
restart,restart/checkpoint/step_160001,160001,0.555320544873727,0.9999997738726846,6.147406785509833e-05,6.147365195830338e-05,0.0005940059385695085,6.846854051910691e-05,0.0003501282970668207
