TITLE = "Sensitivity analysis"
VARIABLES = "j" "gamma" "dn_bot" "dn_top" "utau_crit_bot" "utau_crit_top" "margin_vs_raw_pct" "margin_vs_design_pct"
ZONE T="sensitivity", I=257, F=POINT
   163   3.255340 6.10658953e-03 6.10658953e-03 2.92424155e-02 2.92424155e-02    12.9285    11.1111
   164   3.261227 6.08194334e-03 6.08194334e-03 2.93609162e-02 2.93609162e-02    12.9537    11.1111
   165   3.267076 6.05753715e-03 6.05753715e-03 2.94792131e-02 2.94792131e-02    12.9123    11.1111
   166   3.272886 6.03337395e-03 6.03337395e-03 2.95972751e-02 2.95972751e-02    12.9266    11.1111
   167   3.278655 6.00945773e-03 6.00945773e-03 2.97150653e-02 2.97150653e-02    12.8928    11.1111
   168   3.284381 5.98579541e-03 5.98579541e-03 2.98325313e-02 2.98325313e-02    12.9012    11.1111
   169   3.290062 5.96239797e-03 5.96239797e-03 2.99495991e-02 2.99495991e-02    12.8726    11.1111
   170   3.295692 5.93928176e-03 5.93928176e-03 3.00661655e-02 3.00661655e-02    12.8737    11.1111
   171   3.301266 5.91646820e-03 5.91646820e-03 3.01820989e-02 3.01820989e-02    12.8471    11.1111
   172   3.306777 5.89398373e-03 5.89398373e-03 3.02972381e-02 3.02972381e-02    12.8418    11.1111
   173   3.312216 5.87185855e-03 5.87185855e-03 3.04113982e-02 3.04113982e-02    12.8136    11.1111
   174   3.317575 5.85012615e-03 5.85012615e-03 3.05243723e-02 3.05243723e-02    12.7985    11.1111
   175   3.322845 5.82882261e-03 5.82882261e-03 3.06359347e-02 3.06359347e-02    12.7656    11.1111
   176   3.328014 5.80798771e-03 5.80798771e-03 3.07458344e-02 3.07458344e-02    12.7436    11.1111
   177   3.333069 5.78766713e-03 5.78766713e-03 3.08537835e-02 3.08537835e-02    12.7064    11.1111
   178   3.337997 5.76791724e-03 5.76791724e-03 3.09594298e-02 3.09594298e-02    12.6740    11.1111
   179   3.342778 5.74881145e-03 5.74881145e-03 3.10623213e-02 3.10623213e-02    12.6280    11.1111
   180   3.347385 5.73044760e-03 5.73044760e-03 3.11618639e-02 3.11618639e-02    12.5854    11.1111
   181   3.351785 5.71295335e-03 5.71295335e-03 3.12572881e-02 3.12572881e-02    12.5281    11.1111
   182   3.355937 5.69648675e-03 5.69648675e-03 3.13476422e-02 3.13476422e-02    12.4668    11.1111
   183   3.359794 5.68122842e-03 5.68122842e-03 3.14318340e-02 3.14318340e-02    12.3839    11.1111
   184   3.363305 5.66736458e-03 5.66736458e-03 3.15087244e-02 3.15087244e-02    12.2914    11.1111
   185   3.366425 5.65506299e-03 5.65506299e-03 3.15772661e-02 3.15772661e-02    12.1753    11.1111
   186   3.369128 5.64444732e-03 5.64444732e-03 3.16366543e-02 3.16366543e-02    12.0500    11.1111
   187   3.371376 5.63557558e-03 5.63557558e-03 3.16864579e-02 3.16864579e-02    11.8924    11.1111
   188   3.372975 5.62842737e-03 5.62842737e-03 3.17267004e-02 3.17267004e-02    11.7310    11.1111
   189   3.373525 5.62290168e-03 5.62290168e-03 3.17578785e-02 3.17578785e-02    11.5782    11.1111
   190   3.373046 5.61882597e-03 5.61882597e-03 3.17809147e-02 3.17809147e-02    11.4517    11.1111
   191   3.371639 5.61597532e-03 5.61597532e-03 3.17970465e-02 3.17970465e-02    11.3214    11.1111
   192   3.369366 5.61410004e-03 5.61410004e-03 3.18076677e-02 3.18076677e-02    11.2395    11.1111
   193   3.366303 5.61295725e-03 5.61295725e-03 3.18141437e-02 3.18141437e-02    11.1579    11.1111
   194   3.362514 5.61234137e-03 5.61234137e-03 3.18176349e-02 3.18176349e-02    11.1224    11.1111
   195   3.358181 5.61157365e-03 5.61157365e-03 3.18219879e-02 3.18219879e-02    11.1111    11.1111
   196   3.352922 5.61218520e-03 5.61218520e-03 3.18185203e-02 3.18185203e-02    11.1163    11.1111
   197   3.347149 5.61257863e-03 5.61257863e-03 3.18162898e-02 3.18162898e-02    11.1469    11.1111
   198   3.340715 5.61335776e-03 5.61335776e-03 3.18118738e-02 3.18118738e-02    11.2041    11.1111
   199   3.333599 5.61463779e-03 5.61463779e-03 3.18046213e-02 3.18046213e-02    11.2703    11.1111
   200   3.325776 5.61655227e-03 5.61655227e-03 3.17937802e-02 3.17937802e-02    11.3498    11.1111
   201   3.317207 5.61922342e-03 5.61922342e-03 3.17786667e-02 3.17786667e-02    11.4281    11.1111
   202   3.307870 5.62273571e-03 5.62273571e-03 3.17588160e-02 3.17588160e-02    11.5080    11.1111
   203   3.297778 5.62711783e-03 5.62711783e-03 3.17340838e-02 3.17340838e-02    11.5781    11.1111
   204   3.286966 5.63233469e-03 5.63233469e-03 3.17046906e-02 3.17046906e-02    11.6416    11.1111
   205   3.275497 5.63828676e-03 5.63828676e-03 3.16712214e-02 3.16712214e-02    11.6875    11.1111
   206   3.272815 5.60854945e-03 5.60854945e-03 3.18391467e-02 3.18391467e-02    12.4420    11.1111
   207   3.317628 5.39774555e-03 5.39774555e-03 3.30825948e-02 3.30825948e-02    16.9858    11.1111
   208   3.358392 5.20746884e-03 5.20746884e-03 3.42914060e-02 3.42914060e-02    21.4079    11.1111
   209   3.395696 5.03437114e-03 5.03437114e-03 3.54704537e-02 3.54704537e-02    25.7077    11.1111
   210   3.430104 4.87555876e-03 4.87555876e-03 3.66258387e-02 3.66258387e-02    26.9588    11.1111
   211   3.462139 4.72855055e-03 4.72855055e-03 3.77645172e-02 3.77645172e-02    26.2099    11.1111
   212   3.492285 4.59121000e-03 4.59121000e-03 3.88941975e-02 3.88941975e-02    25.5906    11.1111
   213   3.520998 4.46167500e-03 4.46167500e-03 4.00234057e-02 4.00234057e-02    25.0440    11.1111
   214   3.548736 4.33830409e-03 4.33830409e-03 4.11615749e-02 4.11615749e-02    24.5689    11.1111
   215   3.575918 4.21963768e-03 4.21963768e-03 4.23191379e-02 4.23191379e-02    24.2672    11.1111
   216   3.602918 4.10436502e-03 4.10436502e-03 4.35076870e-02 4.35076870e-02    24.2352    11.1111
   217   3.630113 3.99129222e-03 3.99129222e-03 4.47402543e-02 4.47402543e-02    24.3500    11.1111
   218   3.657893 3.87931833e-03 3.87931833e-03 4.60316513e-02 4.60316513e-02    24.5334    11.1111
   219   3.686646 3.76743151e-03 3.76743151e-03 4.73987192e-02 4.73987192e-02    24.8046    11.1111
   220   3.716746 3.65473414e-03 3.65473414e-03 4.88603061e-02 4.88603061e-02    25.2720    11.1111
   221   3.748561 3.54049829e-03 3.54049829e-03 5.04368068e-02 5.04368068e-02    25.9098    11.1111
   222   3.782405 3.42424376e-03 3.42424376e-03 5.21491578e-02 5.21491578e-02    26.7820    11.1111
