# ═══════════════════════════════════════════════════════════════════════════════════════════════════
# Timing log — GILBM Periodic Hill (Re=5600, 129x257x129, 8 GPUs)
# Architecture: P0 v2 Buffer-first + Interior-MPI overlap, P1 16-dir packed MPI
# ═══════════════════════════════════════════════════════════════════════════════════════════════════
#
# Data types: [T] Total-cumul  [S] Session-cumul  [I] Interval(1000 steps)  [P] Point-sample
#
# Column definitions:
#   Step      [T] : Time step (1 iteration = 2 sub-steps: even+odd)
#   FTT       [T] : Flow-Through Time = step*dt/(LY/Uref)
#   GPU_min   [T] : Cumulative GPU time (min), CUDA Events, persists across restarts
#   Wall_min  [S] : Wall-clock since session start (min), MPI_Wtime
#   MLUPS     [P] : Instantaneous total MLUPS (8 GPUs), Jin definition
#   MLUPS/GPU [P] : Instantaneous per-GPU MLUPS (compare to Jin's 825+)
#   MLUPS_avg [S] : Session-average total MLUPS
#   MLUPSa/GPU[S] : Session-average per-GPU MLUPS
#   GPU_int_s [I] : GPU time for last reporting interval (seconds)
#
#   ── P0 v2 Kernel Breakdown (7 columns) ──
#
#   Timeline:  |<- Buf ->|<- max(Int,MPI) ->|<- PSW ->|
#               Phase 1     Phase 2          Phase 3
#               Buffer      Interior(str0)   periodic
#               (alone)     MPI(host/str1)     SW
#                            concurrent
#
#   Iter = Buf + max(Int, MPI) + PSW + overhead
#   Idle = max(0, Iter - Buf - Int - PSW)  [= MPI exposed time]
#
#   Buf_ms  [P] : Phase1 - Buffer kernel alone (MPI_Wtime)
#                  Left j=3..6, Right j=NYD6-7..NYD6-4, 142 blocks
#   Int_ms  [P] : Phase2-GPU - Interior kernel (cudaEvent, stream0)
#                  j=7..NYD6-8, 25 rows, concurrent with MPI
#   MPI_ms  [P] : Phase2-Host - Pack+MPI+Unpack actual (MPI_Wtime)
#                  16-dir packed persistent, concurrent with Interior
#   PSW_ms  [P] : Phase3 - periodicSW kernel (cudaEvent, stream0)
#                  eta-periodic BC, 10/19 dirs (delta_eta!=0 only)
#   Iter_ms [P] : Full sub-step (cudaEvent, stream0)
#   Idle_ms [P] : * CORE METRIC * = max(0, Iter-Buf-Int-PSW)
#                  =0 -> overlap SUCCESS, MPI fully hidden
#                  >0 -> MPI partially exposed on critical path
#   MC_ms   [P] : Mass correction between even/odd sub-steps (MPI_Wtime)
#
# MLUPS (Jin et al. 2025): pts/GPU=710775, MLUPS/GPU comparable to Jin's 825+
#
# Quick diagnostics:
#   Idle ~ 0           -> P0 overlap OK, MPI fully hidden by Interior
#   Idle > 0           -> MPI exposed, need faster Interior or less MPI
#   Int >> MPI         -> GPU-bound (normal), overlap has headroom
#   Int << MPI         -> MPI-bound, need comm optimization
#   Iter ~ Buf+Int+PSW -> perfect overlap (Idle~0)
#
# Output: every 1000 steps
#
#      Step       FTT   GPU_min  Wall_min      MLUPS  MLUPS/GPU  MLUPS_avg MLUPSa/GPU GPU_int_s    Buf_ms    Int_ms    MPI_ms    PSW_ms   Iter_ms   Idle_ms     MC_ms
#       [-]       [-]     [min]     [min]    [MLU/s]    [MLU/s]    [MLU/s]    [MLU/s]     [sec]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]      [ms]
# ───────────────────────────────────────────────────────────────────────────────────────────────────
     48001    0.2218      3.53      3.53    2429.77     303.72    2578.51     322.31     4.633     0.482     1.814     0.096     0.025     2.340     0.018     0.039
     49001    0.2265      3.60      3.60    2430.27     303.78    2579.15     322.39     4.356     0.481     1.811     0.096     0.029     2.340     0.018     0.053
     50001    0.2311      3.68      3.68    2429.50     303.69    2578.10     322.26     4.499     0.480     1.816     0.114     0.026     2.340     0.019     0.036
     51001    0.2357      3.75      3.75    2421.49     302.69    2578.68     322.33     4.361     0.482     1.823     0.097     0.026     2.348     0.018     0.039
     52001    0.2403      3.82      3.82    2424.00     303.00    2578.32     322.29     4.442     0.484     1.818     0.096     0.026     2.346     0.018     0.047
     53001    0.2449      3.90      3.90    2438.97     304.87    2577.07     322.13     4.524     0.480     1.808     0.111     0.025     2.331     0.018     0.051
     54001    0.2496      3.97      3.97    2429.93     303.74    2576.19     322.02     4.494     0.481     1.816     0.100     0.024     2.340     0.018     0.036
     55001    0.2542      4.05      4.05    2422.12     302.76    2575.14     321.89     4.514     0.481     1.824     0.102     0.025     2.348     0.018     0.039
     56001    0.2588      4.13      4.13    2428.41     303.55    2572.77     321.60     4.645     0.481     1.818     0.089     0.024     2.342     0.019     0.050
     57001    0.2634      4.20      4.20    2437.87     304.73    2573.25     321.66     4.373     0.483     1.807     0.111     0.024     2.332     0.018     0.048
     58001    0.2680      4.27      4.27    2436.83     304.60    2572.93     321.62     4.452     0.483     1.808     0.096     0.024     2.333     0.018     0.040
     59001    0.2727      4.35      4.35    2438.54     304.82    2571.91     321.49     4.523     0.481     1.806     0.112     0.026     2.332     0.018     0.043
     60001    0.2773      4.42      4.42    2431.06     303.88    2570.87     321.36     4.529     0.479     1.818     0.100     0.024     2.339     0.018     0.060
     61001    0.2819      4.50      4.50    2424.99     303.12    2569.94     321.24     4.521     0.484     1.818     0.110     0.025     2.345     0.018     0.053
     62001    0.2865      4.57      4.57    2436.50     304.56    2569.90     321.24     4.429     0.482     1.808     0.108     0.025     2.334     0.018     0.061
     63001    0.2912      4.65      4.65    2438.64     304.83    2567.93     320.99     4.639     0.483     1.805     0.100     0.026     2.332     0.018     0.048
     64001    0.2958      4.73      4.73    2426.42     303.30    2566.54     320.82     4.583     0.480     1.819     0.101     0.025     2.343     0.021     0.043
     65001    0.3004      4.80      4.80    2428.74     303.59    2566.06     320.76     4.485     0.483     1.815     0.097     0.026     2.341     0.018     0.034
     66001    0.3050      4.88      4.88    2432.00     304.00    2565.71     320.71     4.472     0.480     1.813     0.097     0.026     2.338     0.019     0.035
     67001    0.3096      4.95      4.95    2428.47     303.56    2565.24     320.66     4.486     0.482     1.815     0.098     0.026     2.341     0.018     0.041
     68001    0.3143      5.02      5.02    2435.26     304.41    2566.07     320.76     4.336     0.485     1.807     0.109     0.024     2.335     0.019     0.050
     69001    0.3189      5.09      5.09    2410.42     301.30    2567.01     320.88     4.320     0.481     1.835     0.097     0.025     2.359     0.018     0.049
     70001    0.3235      5.17      5.17    2432.26     304.03    2566.77     320.85     4.459     0.484     1.811     0.097     0.024     2.338     0.018     0.049
     71001    0.3281      5.25      5.25    2426.58     303.32    2565.25     320.66     4.618     0.483     1.815     0.098     0.026     2.343     0.019     0.063
     72001    0.3327      5.32      5.32    2436.97     304.62    2564.16     320.52     4.569     0.481     1.809     0.100     0.025     2.333     0.019     0.055
     73001    0.3374      5.40      5.40    2421.23     302.65    2563.38     320.42     4.534     0.482     1.822     0.105     0.026     2.348     0.019     0.046
     74001    0.3420      5.47      5.47    2428.04     303.51    2563.67     320.46     4.399     0.482     1.811     0.109     0.025     2.342     0.023     0.045
     75001    0.3466      5.54      5.54    2430.83     303.85    2564.61     320.58     4.314     0.481     1.815     0.100     0.025     2.339     0.018     0.033
     76001    0.3512      5.62      5.62    2440.55     305.07    2564.40     320.55     4.462     0.483     1.803     0.099     0.026     2.330     0.018     0.038
     77001    0.3559      5.69      5.69    2437.93     304.74    2564.53     320.57     4.418     0.480     1.810     0.098     0.025     2.332     0.018     0.048
     78001    0.3605      5.76      5.76    2432.23     304.03    2564.61     320.58     4.424     0.481     1.815     0.108     0.024     2.338     0.018     0.035
     79001    0.3651      5.84      5.84    2433.96     304.25    2565.12     320.64     4.364     0.483     1.810     0.100     0.025     2.336     0.018     0.041
     80001    0.3697      5.91      5.91    2431.73     303.97    2565.78     320.72     4.343     0.482     1.812     0.097     0.025     2.338     0.018     0.047
     81001    0.3743      5.98      5.98    2433.56     304.20    2565.47     320.68     4.475     0.482     1.811     0.097     0.025     2.337     0.018     0.038
     82001    0.3790      6.06      6.06    2438.47     304.81    2565.55     320.69     4.422     0.482     1.805     0.097     0.026     2.332     0.018     0.052
     83001    0.3836      6.13      6.13    2428.57     303.57    2565.82     320.73     4.394     0.484     1.814     0.101     0.025     2.341     0.018     0.035
     84001    0.3882      6.21      6.21    2437.73     304.72    2564.92     320.62     4.563     0.483     1.805     0.078     0.026     2.333     0.019     0.038
     85001    0.3928      6.28      6.28    2427.68     303.46    2564.75     320.59     4.459     0.483     1.816     0.098     0.025     2.342     0.018     0.035
     86001    0.3974      6.35      6.35    2444.44     305.56    2565.20     320.65     4.367     0.482     1.798     0.100     0.026     2.326     0.020     0.048
     87001    0.4021      6.43      6.43    2431.46     303.93    2565.36     320.67     4.409     0.483     1.812     0.107     0.025     2.339     0.019     0.035
     88001    0.4067      6.50      6.50    2424.99     303.12    2565.90     320.74     4.352     0.486     1.815     0.110     0.026     2.345     0.018     0.032
     89001    0.4113      6.57      6.57    2439.57     304.95    2566.25     320.78     4.377     0.481     1.807     0.099     0.025     2.331     0.018     0.046
     90001    0.4159      6.65      6.65    2428.60     303.58    2566.03     320.75     4.466     0.483     1.815     0.095     0.025     2.341     0.018     0.066
     91001    0.4205      6.72      6.72    2429.70     303.71    2566.05     320.76     4.429     0.480     1.817     0.099     0.026     2.340     0.018     0.040
     92001    0.4252      6.80      6.80    2420.17     302.52    2566.17     320.77     4.413     0.480     1.826     0.104     0.025     2.350     0.018     0.057
     93001    0.4298      6.87      6.87    2428.54     303.57    2565.96     320.74     4.466     0.481     1.817     0.113     0.025     2.341     0.018     0.055
     94001    0.4344      6.94      6.94    2435.73     304.47    2565.86     320.73     4.449     0.480     1.811     0.093     0.025     2.334     0.018     0.038
     95001    0.4390      7.02      7.02    2429.50     303.69    2565.73     320.72     4.453     0.481     1.815     0.107     0.025     2.340     0.018     0.060
     96001    0.4437      7.09      7.09    2442.19     305.27    2565.64     320.70     4.448     0.484     1.801     0.096     0.025     2.328     0.018     0.042
     97001    0.4483      7.17      7.17    2433.16     304.15    2565.23     320.65     4.501     0.480     1.813     0.082     0.026     2.337     0.018     0.043
     98001    0.4529      7.24      7.24    2434.46     304.31    2564.86     320.61     4.496     0.480     1.810     0.080     0.025     2.336     0.021     0.051
     99001    0.4575      7.32      7.32    2432.86     304.11    2564.95     320.62     4.417     0.483     1.811     0.106     0.025     2.337     0.018     0.040
    100001    0.4621      7.39      7.39    2430.10     303.76    2565.03     320.63     4.421     0.481     1.815     0.100     0.026     2.340     0.018     0.035
    101001    0.4668      7.46      7.46    2442.83     305.35    2565.05     320.63     4.430     0.485     1.800     0.097     0.026     2.328     0.017     0.056
    102001    0.4714      7.54      7.54    2420.50     302.56    2564.98     320.62     4.446     0.483     1.823     0.106     0.025     2.349     0.018     0.034
    103001    0.4760      7.61      7.61    2432.59     304.07    2564.38     320.55     4.540     0.483     1.811     0.095     0.025     2.338     0.019     0.056
    104001    0.4806      7.69      7.69    2431.63     303.95    2564.04     320.51     4.496     0.482     1.813     0.099     0.026     2.338     0.018     0.039
    105001    0.4852      7.76      7.76    2425.75     303.22    2564.13     320.52     4.420     0.482     1.818     0.097     0.026     2.344     0.018     0.051
    106001    0.4899      7.83      7.83    2430.83     303.85    2564.36     320.55     4.392     0.481     1.815     0.112     0.024     2.339     0.019     0.057
    107001    0.4945      7.91      7.91    2444.74     305.59    2564.78     320.60     4.358     0.482     1.800     0.096     0.025     2.326     0.019     0.051
    108001    0.4991      7.98      7.98    2426.22     303.28    2565.18     320.65     4.360     0.480     1.821     0.080     0.024     2.344     0.018     0.056
    109001    0.5037      8.05      8.05    2439.01     304.88    2565.11     320.64     4.445     0.483     1.806     0.098     0.025     2.331     0.018     0.033
    110001    0.5084      8.13      8.13    2433.19     304.15    2564.75     320.59     4.502     0.481     1.813     0.103     0.025     2.337     0.018     0.054
    111001    0.5130      8.20      8.20    2418.59     302.32    2564.94     320.62     4.397     0.483     1.825     0.098     0.025     2.351     0.018     0.044
    112001    0.5176      8.28      8.28    2425.69     303.21    2565.18     320.65     4.388     0.482     1.818     0.108     0.025     2.344     0.018     0.032
